Feature,Importance
num__Open,0.4598270198648852
num__CompetitionDistance,0.10264345819748648
num__Store,0.0822371237676154
num__Promo,0.07346066651982153
num__CompetitionOpenSinceYear,0.044618628497166093
num__CompetitionOpenSinceMonth,0.037183841597926426
num__DayOfWeek,0.030853194198133243
num__DayOfYear,0.02676010361896993
num__Day,0.019801739558391086
num__Promo2SinceWeek,0.017547831229203486
cat__StoreType_b,0.013504696398969805
num__Promo2SinceYear,0.012399293303206816
cat__Assortment_c,0.008235814371700822
num__Year,0.008140538021726634
num__Week,0.0077486217053625624
cat__StoreType_a,0.007479911055610693
cat__Assortment_a,0.006083618807019166
cat__PromoInterval_Unknown,0.0058381053470659425
cat__StoreType_c,0.005837051720052055
num__Promo2,0.005709777454424651
"cat__PromoInterval_Mar,Jun,Sept,Dec",0.004587031310691948
cat__StoreType_d,0.004253308796373801
num__IsWeekend,0.003518770352124977
"cat__PromoInterval_Jan,Apr,Jul,Oct",0.0032202508632729826
num__Month,0.002827217684272366
num__SchoolHoliday,0.0021942630114587785
"cat__PromoInterval_Feb,May,Aug,Nov",0.0013792798209714702
num__Quarter,0.0010986464234445997
cat__StateHoliday_0,0.0006355427880393803
cat__Assortment_b,0.0002737204616119538
cat__StateHoliday_a,7.947246356354917e-05
cat__StateHoliday_b,1.2942334661981798e-05
cat__StateHoliday_c,8.51845477420085e-06
